id,下个对话组首句闲聊,"对话内容
支持随机对话内容",接取1个任务对话,接取2个任务对话,接取3个任务对话。,是否气泡,对话选项数量,对话选项1,对话选项1跳转对话ID,任务标记1,关联任务1,对话选项2,对话选项2跳转对话ID,任务标记2,关联任务2,对话选项3,对话选项3跳转对话ID,任务标记3,关联任务3
131103,,对啊，这里木材资源丰富，而且由于火山的存在，周围还有很多矿藏哦。啊，对啦。我正好想收集5块玄武岩呢。能请你帮下法尔吗？,,,,0,,好啊。,131104,1,1104,请容我拒绝。,131202,,,,,,
131104,,要小心那些火人哦。虽然正常的不会主动攻击你，但是异变的似乎很可怕。,,,,1,,,,,,,,,,,,,
131105,,嗯，其实正常的火人虽然看着可怕，但是还是很友善的，但是不知为什么出现了一些能量暴走的火人。它们会主动攻击一切靠近者呢。,,,,0,,有点意思。,131106,,,好可怕！,131203,,,,,,
131106,,看样子您跃跃欲试呢？怎么样？去消灭一两个异变的火人。为后来者扫清一下道路？,,,,0,,好啊。,131107,1,1105,你误会我了。,131204,,,,,,
131107,,不过务必小心，它们不是一般的强大哦。,,,,1,,,,,,,,,,,,,
131201,,嗯，火山里有些异变火人，森林中还有些会主动攻击靠近者的伐木机。确实是很危险哦。,,,,0,,异变火人？,131105,,,伐木机？,131205,,,,,,
131202,,当然，我没有强求您的理由。,,,,1,,,,,,,,,,,,,
131203,,嗯，所以你要小心些哦。,,,,1,,,,,,,,,,,,,
131204,,哦，看来我理解失误了呢。,,,,1,,,,,,,,,,,,,
131205,,嗯，那是一些伐木的源码机械。电锯转起来的时候也是非常可怕呢。,,,,1,,,,,,,,,,,,,
132101,133101,火山里面的资源还是很丰富的，靠近密林火山的北面有一批铜矿哦。如果您去开采的话，能请您顺便带5块铜矿石给我吗？,,,,0,,当然可以！,132102,1,1106,暂时不去。,132201,,,,,,
132102,,非常感谢。,,,,1,,,,,,,,,,,,,
132201,,嗯，那等您有时间再说。,,,,1,,,,,,,,,,,,,
133101,134101,果然那些伐木机还是很让人恼火呢。能请您帮忙消灭5个伐木机吗？它们实在太吵闹了。,,,,0,,没问题！,133102,1,1107,那不关我事。,133201,,,,,,
133102,,非常感谢您，{var0=playername}！,,,,1,,,,,,,,,,,,,
133201,,嗯，还是谢谢您，您确实没有帮我的义务。,,,,1,,,,,,,,,,,,,
134101,135101,这只是一片很小的火山，您想要更多的资源的话就去寂灭山脉探索探索吧。它位于世界东南方的熔岩大陆上。,,,,0,,好。,134102,1,1108,,,,,,,,
134102,,再见。,,,,1,,,,,,,,,,,,,
135101,,世界还有很多秘密，积极去探索吧！,,,,1,,,,,,,,,,,,,
141101,142101,动物们真可爱，我最喜欢他们了！哈哈，欢迎您来，有兴趣和我一起驯养动物吗？,,,,0,,好啊！,141102,2,1076,丑拒。,141201,,,没兴趣。,,,
141102,,我们首先从最简单的咕咕鸡开始，开始培养之前，你必须至少先建立一个初级生物构建器才行。,,,,0,,生物构建器？,141103,2,1076,咕咕鸡？,141202,,,,,,
141103,,对，你需要在石工台用石块和源码晶石合成一个生物构建器，然后把咕咕鸡DNA碎片放到里面就可以培育出一只咕咕鸡啦。,,,,0,,明白了。,141104,1,1076,好复杂啊！,141203,,,,,,
141104,,有什么不明白的再回来问我哦。,,,,1,,,,,,,,,,,,,
141201,,您可不丑，那就等您感兴趣的时候再来吧。,,,,1,,,,,,,,,,,,,
141202,,咕咕鸡是源码部落最简单的动物，所以生成起来也比较简单。所以才叫你用它，其实关键是容易击败啊。哈哈。,,,,0,,原来如此。,,,,哈…haha。,,,,,,,
142101,143101,接下来就是按部就班的工作了，先去弄1个湖鸭的DNA碎片吧。,,,,0,,简单。,142102,1,1077,湖鸭？,142201,,,,,,
142102,,湖鸭的话基本所有的湖边都会出现。,,,,1,,,,,,,,,,,,,
142103,,嘻嘻，我也这样觉得呢。,,,,1,,,,,,,,,,,,,
142201,,不知道湖鸭吗？它可很有名哦，只要是湖边就会出现的奇特鸭子呢。,,,,0,,好像很有趣。,142103,,,,,,,,,,
143101,144101,那接下来就来培养一只属于我们的湖鸭吧！把湖鸭的DNA碎片放到初级生物构建器里吧！,,,,0,,好咧，这就办。,143102,1,1078,我还有点事。,143201,,,,,,
143102,,哈哈，真好啊。,,,,1,,,,,,,,,,,,,
143201,,那就等你没事了再来找我见证吧！,,,,1,,,,,,,,,,,,,
144101,145101,嗯，小的动物其实还有一个沙滩蟹，不过那个和湖鸭它们也没什么两样了，下面让我们培育些强大点的宠物吧。我最喜欢的山地羊，怎么样？有兴趣吗？,,,,0,,沙滩蟹？,144102,,,山地羊？,144201,2,1079,没兴趣。,,,
144102,,沙滩蟹看着很凶，其实弱得很，沙滩边上有很多。,,,,1,,,,,,,,,,,,,
144103,,加油哦！,,,,1,,,,,,,,,,,,,
144201,,山地羊不仅毛绒绒的，还有一种酷酷的气质，我可喜欢了，不过培养他们需要中级生物构造器。所以你先去造一个中级生物构造器吧。,,,,0,,好的。,144103,,,我还得准备准备。,144202,1,1079,,,,
144202,,行，我等你。,,,,1,,,,,,,,,,,,,
145101,146101,中级生物构造器造好了的话，就请马上培育一个我最喜欢的山地羊吧！,,,,0,,简单。,145102,1,1080,不要！,145201,,,,,,
145102,,(●'◡'●)，你真棒。,,,,1,,,,,,,,,,,,,
145201,,＞﹏＜，生气气。不理你了。,,,,1,,,,,,,,,,,,,
146101,,哈哈，果然法尔还是最喜欢你这家伙啦。泥牛、骆驼等大部分生物都可以使用中级生物构造器培育呢。希望你不久后就牛羊成群。更高级的生物怎么培育就请你自己慢慢摸索吧。,,,,0,,明白啦！,146102,,,更高级的生物？,146201,,,,,,
146102,,嗯嗯。那就酱！,,,,1,,,,,,,,,,,,,
146103,,嗯，等你和源码部落的融合度高了，拥有了更强大的力量再挑战它们吧！加油。,,,,1,,,,,,,,,,,,,
146104,,总之要小心些哦。,,,,1,,,,,,,,,,,,,
146201,,就像雪人啊，火人啊树妖之类的，不过你不要去招惹那些源码机械哦，它们的制造方式可不太一样；特别是还有那个经常袭击数据传输飞船的可怕源码巨怪！,,,,0,,好的！我明白。,146103,,,源码巨怪？,146202,,,,,,
146202,,就是那个袭击你乘坐的数据传输飞船的家伙哦，听说现在已经发现有九个这样的巨怪呢，大部分都在沙漠里面的样子。,,,,0,,明白了。,146104,,,,,,,,,,
161101,162101,我法尔最喜欢花花草草，研究植物就是我最大的乐趣。怎么样？和我一起探索这个世界植物的奥秘吧。,,,,0,,研究植物？,161102,2,1081,不感兴趣。,161201,,,,,,
161102,,嗯，其实这个世界的植物设置的还挺有意思的，你可以打开你的源码扫描仪，点击一株植物试试看。,,,,0,,试过了！,161103,2,1081,我不会。,161202,,,,,,
161103,,是吗，那能请您帮我采5株龙爪草吗？我正好想分析下它们的构成方式呢。,,,,0,,没问题。,161104,1,1081,我没时间。,161203,,,,,,
161104,,谢谢你啦！,,,,1,,,,,,,,,,,,,
161201,,你总有一天会感兴趣的，这是真香定律哦！,,,,1,,,,,,,,,,,,,
161202,,这样啊，你看向你的右手边，有一个代表查看的装置，点击一下就可以打开你的源码扫描仪啦。,,,,0,,好的，谢谢！,,,,,,,,,,,
161203,,嗯，那你先去忙吧！,,,,1,,,,,,,,,,,,,
162101,163101,从你采集的龙爪草，我就知道您很有天分啦。所以能请你继续帮我采集一些植物和花朵吗？我很爱收集它们。,,,,0,,当然可以。,162102,2,1082,我很忙的。,162201,,,您谬赞了！,162301,,
162102,,好的，那下面请您帮我采集一些小雪球吧！它们是很可爱的白色球形植物，平原上常能看见的。,,,,0,,好的。,162103,1,1082,,,,,,,,
162103,,谢谢您！,,,,1,,,,,,,,,,,,,
162201,,那就不麻烦您了。,,,,1,,,,,,,,,,,,,
162301,,这难道就是委婉的拒绝吗？行吧！等您有时间再来找我。,,,,1,,,,,,,,,,,,,
163101,164101,接下来我们的目标是生长在雪原里的星辰花。,,,,0,,没问题！,163102,1,1083,,,,,,,,
163102,,雪原里比较寒冷，会对您造成伤害，记得带上补给和防寒设备。,,,,1,,,,,,,,,,,,,
164101,165101,那么下一个目标？魔鬼沙漠的魔鬼花？,,,,0,,魔鬼花？,164102,2,1084,魔鬼沙漠？,164201,,,,,,
164102,,嗯，因为奇特的形状和鲜红的颜色，被称之为魔鬼花。听说现实世界的沙漠中也有魔鬼花哦。怎么样？敢去采集吗？,,,,0,,当然！,164103,1,1084,再考虑考虑！,164202,,,,,,
164103,,好，那就一路小心。,,,,1,,,,,,,,,,,,,
164201,,嗯，魔鬼沙漠位于这个世界东南方的熔岩大陆上。哪里熔岩弥漫却有这个世界最大的湖泊呢。,,,,0,,了解了。,,,,,,,,,,,
164202,,确实，此去有些危险，是要好好考虑下呢。,,,,1,,,,,,,,,,,,,
165101,,终于，我们要迎来终极挑战啦，请务必帮我采集一朵开花的银剑菊吧。听说这种花朵只在这个世界的火山口才能找到。十分珍惜呢。,,,,0,,好！,165102,2,1085,这可难倒我了。,165201,,,那很危险吧。,165301,,
165102,,"{var0=playername},您，您对我真好。O(*￣▽￣*)ブ。不过也要小心哦。很危险的。",,,,0,,嗯。,165103,1,1085,,,,,,,,
165103,,请务必小心。,,,,1,,,,,,,,,,,,,
165201,,也是呢，是我强人所难了。抱歉！,,,,1,,,,,,,,,,,,,
165301,,确实是很危险呢，我为我的过错道歉，对不起！,,,,1,,,,,,,,,,,,,
171101,,客人，您选择来到这个苦寒之地的原因我不得而知。但是必须要告诉您的是，沿此上去的鸟冠冰原可不是一片安全之地。,,,,0,,我知道了。,171102,2,1109,苦寒之地？,171201,,,,,,
171102,,嗯，其实并不是鸟冠冰原如此，每一片冰原都并不安全呢。因为现在到处都晃荡着一些异变的雪人。,,,,0,,异变雪人？,171103,2,1109,,,,,,,,
171103,,其实正常的雪人是不会主动攻击我们的，但是那些形态异样的雪人似乎是受到了感染，能请您去消灭它们换这里一个安宁吗？,,,,0,,可以的。,171104,1,1109,我能力还不够。,171202,,,,,,
171104,,实在是太感谢您了！,,,,1,,,,,,,,,,,,,
171105,,嗯，不过人类似乎从来不会被轻易征服呢。,,,,1,,,,,,,,,,,,,
171201,,对啊，这里风雪交加，实在是真正的苦寒之地，若是不好好准备食物和保暖，可是会被冻死的。,,,,0,,那真是可怕。,171105,,,,,,,,,,
171202,,嗯，那就等你强大些了，再来找我吧！,,,,1,,,,,,,,,,,,,
172101,,就我的观察和公司的调查结果来看，其实异变的雪人数量并不多，但是却源源不断的产生，也许是有一个源头吧！,,,,0,,源头吗？,172102,,,,,,,,,,
172102,,对啊，我们要是能找到这个源头就好了。,,,,0,,我会试试的。,172103,,,,,,,,,,
172103,,这样啊，那真是太感谢您啦。其实公司也发现源码世界各地有些奇特的石碑。不知道和它们有没有关系呢。,,,,0,,"知道了。,我会注意的。",172104,,,,,,,,,,
172104,,那就辛苦您去调查啦！,,,,1,,,,,,,,,,,,,
221101,222101,隔断平原在两座山脉的夹缝当中，于是在不断的矿石开采中，我成为了一个爱好打造装备的法尔。哈，我可是个女汉子。,,,,0,,两座山脉？,221102,,,打造装备？,221201,2,1071,女汉子？,221301,,
221102,,西边环形山脉，右边隔断山脉，可不就是两座山脉吗？,,,,1,,,,,,,,,,,,,
221103,,可别觉得简单，你至少得先去捡些石头和采些木头才行哦。,,,,1,,,,,,,,,,,,,
221201,,怎么？你也有兴趣？那就先造一把石斧让我看看你的技术如何吧！,,,,0,,好啊。,221103,1,1071,不了，我就问问。,221202,,,,,,
221202,,这样啊，那可是很遗憾的哦，错过本姑娘的指导。,,,,1,,,,,,,,,,,,,
221301,,可不就是女汉子吗？现在天天打铁呢。,,,,1,,,,,,,,,,,,,
222101,223101,那接下来就教你怎么做源码装备吧。不过你要先有一个石工台才行，石工台通过木工台加石头的方式就可以合成哦。,,,,0,,明白了。,222102,1,1072,不懂。,222201,,,,,,
222102,,有石工台了就马上来找我哦。,,,,1,,,,,,,,,,,,,
222103,,那就快去做一个石制工作台吧。,,,,1,,,,,,,,,,,,,
222201,,就是说，你先要用纤维，原木，和石头做一个基础的木制工作台才行，让后再用它合成处一个石头工作台，才可以操作更高级的材料。明白了吧。,,,,0,,懂了。,222103,,,不明白。,222202,,,,,,
222202,,不明白算啦，本法尔大爷不要笨蛋徒弟，(￢︿̫̿￢☆)。,,,,1,,,,,,,,,,,,,
223101,224101,好了，那下面就让我们来做一个源码石斧吧。收集些石块，收集些木块，再收集点源码晶体，duang！源码石斧就合成了，很简单的。,,,,0,,明白。,223102,1,1073,,,,,,,,
223102,,简单，干练，不多BB，我就喜欢这样的。加油。,,,,1,,,,,,,,,,,,,
224101,225101,有了经验做起事情来就会越来越顺手哦，接下来先合成一个铁质工作台吧。,,,,0,,好咧。,224102,1,1074,,,,,,,,
224102,,铁质工作台可以帮你合成强力的铁质装备。,,,,1,,,,,,,,,,,,,
225101,226101,同样以斧头为例，使用铁锭和木块就能合成铁斧啦。其他装备也基本要用到铁锭，所以要都收集点铁矿石哦。先合成一把铁斧看看吧。,,,,0,,好的。这就去。,225102,1,1075,,,,,,,,
225102,,这家伙真是越来越酷啦。,,,,1,,,,,,,,,,,,,
226101,,能教你的基本都教给你啦，后面的就要靠你自己慢慢摸索了哦。现在的你已经具有很强力的装备了，也可以尝试挑战下那个在浮沉沙漠里的怪物啦！,,,,0,,好的！,226102,,,怪物？,226201,,,,,,
226102,,要去的话也要小心啊，三思而后行，一定要好好的回来找我玩哦。,,,,1,,,,,,,,,,,,,
226103,,嗯，它可是很强大的。你一定要小心。,,,,1,,,,,,,,,,,,,
226201,,对啊，公司的心头大患之一，你刚来时遭受的数据波动就是那个家伙造成的哦。,,,,0,,那可要好好教训它。,226103,,,,,,,,,,
1000001,,默认完成,,,,0,,默认完成,2000000,1,1011,,,,,,,,
1000002,,建造,,,,0,,建造,2000000,1,1012,,,,,,,,
1000003,,对话,,,,0,,对话,2000000,1,1013,,,,,,,,
1000004,,获取物品,,,,0,,获取物品,2000000,1,1014,,,,,,,,
1000005,,合成,,,,0,,合成,2000000,1,1015,,,,,,,,
1000006,,打怪,,,,0,,打怪,2000000,1,1016,,,,,,,,
1000007,,采集,,,,0,,采集,2000000,1,1017,,,,,,,,
1000008,,扣除物品,,,,0,,扣除物品,2000000,1,1018,,,,,,,,
1000009,,探索区域,,,,0,,探索区域,2000000,1,1019,,,,,,,,
1000010,,机器人代码块,,,,0,,机器人代码块,2000000,1,1020,,,,,,,,
1000011,,机器人建造,,,,0,,机器人建造,2000000,1,1021,,,,,,,,
1000012,,达成等级,,,,0,,达成等级,2000000,1,1022,,,,,,,,
1000013,,机器人获取,,,,0,,机器人获取,2000000,1,1023,,,,,,,,
1000014,,机器人合成,,,,0,,机器人合成,2000000,1,1024,,,,,,,,
1000015,,机器人打怪,,,,0,,机器人打怪,2000000,1,1025,,,,,,,,
1000016,,机器人采集,,,,0,,机器人采集,2000000,1,1026,,,,,,,,
1000017,,机器人探索,,,,0,,机器人探索,2000000,1,1027,,,,,,,,
1000018,,养殖,,,,0,,养殖,2000000,1,1007,,,,,,,,
1000019,,种植,,,,0,,种植,2000000,1,1008,,,,,,,,
1000020,,机器人养殖,,,,0,,机器人养殖,2000000,1,1009,,,,,,,,
1000021,,机器人种植,,,,0,,机器人种植,2000000,1,1010,,,,,,,,
2000000,,去完成吧！,,,,1,,,,,,,,,,,,,
3000000,,测试默认完成、建造、对话,完成了哪一个？,完成了哪两个？,三个都完成了吗？,0,,默认完成,3000006,1,1028,建造,3000006,1,1029,对话,3000006,1,1030
3000001,,测试获取物品、合成、打怪,完成了哪一个？,完成了哪两个？,三个都完成了吗？,0,,获取物品,3000006,1,1031,合成,3000006,1,1032,打怪,3000006,1,1033
3000002,,测试采集、扣除物品、探索区域,完成了哪一个？,完成了哪两个？,三个都完成了吗？,0,,测试采集,3000006,1,1034,扣除物品,3000006,1,1035,探索区域,3000006,1,1036
3000003,,测试代码块使用、获取建造混合，合成建造混合。,完成了哪一个？,完成了哪两个？,三个都完成了吗？,0,,代码块使用,3000006,1,1037,获取建造混合,3000006,1,1038,合成建造混合,3000006,1,1039
3000004,,测试打怪获取混合，对话获取混合，打怪扣除混合。,完成了哪一个？,完成了哪两个？,三个都完成了吗？,0,,打怪获取混合,3000006,1,1040,对话获取混合,3000006,1,1041,打怪扣除混合,3000006,1,1042
3000005,,测试探索打怪混合、探索采集混合、采集扣除混合。,完成了哪一个？,完成了哪两个？,三个都完成了吗？,0,,探索打怪混合,3000006,1,1043,探索采集混合,3000006,1,1044,采集扣除混合,3000006,1,1045
3000006,,去完成吧,,,,1,,,,,,,,,,,,,
3000100,3001100,你好呀！我是这片区域的负责人，活泼的法尔哟(＾Ｕ＾)ノ~ＹＯ。我负责向您们发布一些重要信息和一些基础的咨询服务，请随时来找我聊天吧！,,,,0,,重要信息？,3000101,2,2073,咨询服务？,3000201,,,活泼芯？,3000301,,
3000101,,其实说是重要信息，主要就是告诉你们哪里的石碑出现了能量激发的状态啦，因为当它们激发能量时，只要触碰它们就能得到丰厚的宝藏呢，而且据说只要完全弄懂了那些石碑，就能弄懂这个世界的全部秘密哦！虽然像吹牛，但是没准是真的呢。,,,,0,,石碑？,3000102,2,2073,,,,,,,,
3000102,,嗯，就是一些散落在这个世界各地的石碑，它们之间似乎还有神秘的联系呢，想去见识的话，我这里正好有一个处于激发态的石碑的坐标，你要去看看吗？,,,,0,,当然要去。,3000103,2,2073,我先安顿好再说吧！,3000202,,,,,,
3000103,,那好吧，坐标是(10，1990)。离这里可不近呢，想去的话你可以先传送到稻香平原再一直往上走，应该是在密林火山的左上方。但如果你还没安顿好也没充足的实物的话，还是先按照公司的指导行事会比较好哦。,,,,0,,知道了。,3000104,1,2073,,,,,,,,
3000104,,那就祝你早点得到宝藏，满载而归哦。(*^__^*) 嘻嘻。,,,,1,,,,,,,,,,,,,
3000105,,在源码部落上，最多植物就是青草啦，你可以通过采集它们获得纤维，然后就是灌木红浆果之类的填饱肚子，最重要的当然是不断的砍伐木头，建造一个属于自己的家啦。你还可以通过右边的小眼睛查看他们的具体信息哦！,,,,0,,明白了。,,,,回到目录,3000201,,,,,,
3000201,,正在调取转载的咨询信息，请问你要了解什么信息呢？,,,,0,,植物信息,3000105,,,动物信息,3000203,,,地形信息,3000302,,
3000202,,对的，先根据公司的指导安顿好吧，冒险和寻宝应该建立在充分的准备下呢。O(∩_∩)o 哈哈。,,,,0,,,,,,,,,,,,,
3000203,,为了保护刚刚来到的开拓者，冒险家们，只打开的九个初级传送点附近都是比较容易击败的小动物，越往外围走碰到危险的几率越大哦。那些机械怪物是一定要小心的，因为它们会主动攻击你的。你还可以通过右边的小眼睛查看他们的具体信息哦！,,,,0,,谢谢！,,,,回到目录,3000201,,,,,,
3000301,,你对“活泼芯”感到疑惑吗？哈哈，其实活泼芯的意思就是我搭载的性格芯片啦，除了初始传送点的我们搭载了9型性格的不同芯片外，其他暂时没有开放的传送点似乎就没什么特别的了，不过也有很奇怪的家伙呢。哈哈。,,,,0,,原来是这样啊！,,,,,,,,,,,
3000302,,在源码部落呢，有草地、森林、石地、沙漠、沼泽、火山、雪原、冰原还有沙滩。不同的地形往往有不同的怪物和资源哦。比如森林草原花多，森林树木多，石地矿石多。大概就是这样啦！你还可以通过右边的小眼睛查看他们的具体信息哦！,,,,0,,知道啦！,,,,回到目录,3000201,,,,,,
3001100,3002100,第二个石碑的坐标点我已经拿到手咯，去吗？,,,,0,,当然去啦！,3001101,2,2074,我要想想。,3001201,,,咨询服务！,3000201,,
3001101,,看，就是这个坐标(730，2230)。这个地方可不那么好去哦，是在海上呢。你可能还是要先去稻香平原，不断往左走找到双湖沼泽，到达黄金海岸后一直往下走，在双湖沼泽的末尾，黄金海岸的突出口出海就大概能找到它啦。,,,,0,,又一场探险开始啦。,,1,2074,,,,,,,,
3001201,,别想太久哦，所谓时不待我啊。^_^,,,,1,,,,,,,,,,,,,
3002100,3003100,如果觉得我给的地点太难寻找的话，也可以去别的地方看看哦。比如去找河口平原那个乐于助人的家伙。那么你怎么决定呢？,,,,0,,其实还好，不难的。,3002101,2,2075,那就去看看。,3002201,,,咨询服务！,3000201,,
3002101,,”民之饥，以其上食税之多，是以饥。“，这是这块石碑开头的话，不过后面的似乎更有深意。地点在(490，1510)。去发现真正的宝藏吧。具体的话，我可以告诉你是在环形山脉接近巨木之森和源码古城又靠近海边的一个地方呢，很好找的。,,,,0,,冲鸭！宝藏我来啦。,,1,2075,,,,,,,,
3002201,,嘿呀，你竟然都不坚持一下，╭(╯^╰)╮，不喜欢你啦。哈哈，开玩笑哒。去吧。我会想你的哟。,,,,0,,恩，再见。,,,,,,,,,,,
3003100,3004100,嘿，问你个问题，你觉得柔弱的人比坚强的人更容易生存吗？还是你更喜欢坚强的人呢？去听听石碑的意见吧，它在(-230，1270)。沿着浮沉沙漠最顶部往下走就能碰到它啦。浮沉沙漠沿着右下方那条路穿过环形沙漠就可以到。,,,,0,,这次好干脆呀！,3003101,,,好咧！,3003201,1,2076,咨询服务！,3000201,,
3003101,,这叫懂你，明白不。(☄⊙ω⊙)☄。,,,,1,,,,,,,,,,,,,
3003201,,我喜欢柔中带刚的。(*^__^*) 嘻嘻。,,,,1,,,,,,,,,,,,,
3004100,3005100,自然总是很奇妙，可以调节，张弛有度，让万物形成有机的循环，这是为什么呢？听说有一块石碑也进行了相关的阐述呢。,,,,0,,哦，在哪？,3004101,2,2077,确实是这样呢。,3004201,,,咨询服务！,3000201,,
3004101,,告诉你可以，不过这次我需要你帮我一个忙哦。因为还比较顺路呢。,,,,0,,什么忙？,3004102,2,2077,那就算啦。,3004202,,,,,,
3004102,,我想要10份兽皮，双湖沼泽的泥牛应该会有比较多的兽皮哦，而这次的石碑地点就在双湖沼泽内湖的右侧，很好找，坐标是(370，2110)。,,,,0,,好的，等我回来。,3004103,1,2077,,,,,,,,
3004103,,才不要等你回来咧。路上小心呀！,,,,1,,,,,,,,,,,,,
3004201,,对啊，所以我们生活中也要学会平衡才可以呀！,,,,1,,,,,,,,,,,,,
3004202,,你，你，你怎么可以这样，不理你了，哼！,,,,0,,开玩笑呢，说吧。,3004102,,,,,,,,,,
3005100,3006100,(250，1750)这是下个点的坐标，不过可能会有些麻烦，你要小心些啦。,,,,0,,我会小心的。,3005101,1,2078,麻烦是什么？,3005201,,,咨询服务！,3000201,,
3005101,,嗯，那好，这个石碑几乎就在浮沉沙漠的中心，如果你还记得上一个在浮沉沙漠发现的石碑的地点的话，沿着它一直往下就基本能找到这个石碑了哦。,,,,0,,好的，我明白了。,,,,,,,,,,,
3005201,,麻烦的是浮沉沙漠比较危险，有很多会攻击你的怪物呢，所以一定要小心些哦。,,,,,,,,,,,,,,,,,
3006100,3007100,接下来这个石碑还算比较容易发现哦，但是讲的道理却同样不简单呢。你沿着右下方那条路一直往右下方走，他就在环形山脉快到浮沉沙漠传送点那一截的路周边。相信坚持不懈的人都能得到指引。,,,,0,,坐标在哪呢？,3006101,1,2079,咨询服务！,3000201,,,,,,
3006101,,诶呀，忘了说啦，(^_*//)坐标在(130，1390)哦。,,,,1,,,,,,,,,,,,,
3007100,3008100,自我满足和不断发展是否真正矛盾呢？这是一个值得思考的问题呀。不过先听听它们怎么说吧。这个石碑在（370，1630）。没弄错的话你沿着上个石碑一直往下走就能碰上它呢。,,,,0,,听着好简单。,3007101,1,2080,咨询服务！,3000201,,,,,,
3007101,,"确实蛮简单的，但这是建立在你有所积累
的基础上哦。快去看看这次的宝藏吧。",,,,1,,,,,,,,,,,,,
3008100,,做了一件好的事情，但是却不把它当做自己的功劳，这是一种怎样的境界呢。去第“捌拾壹”号石碑那看看吧。坐标在（130，1870），就在上一个石碑的正右方呢。,,,,0,,越到后面越容易呢。,3008101,2,2081,咨询服务！,3000201,,,,,,
3008101,3008999,"生活中的其他事情不也一样吗？
积累得越多越简单呢。",,,,0,,确实如此。,,1,2081,,,,,,,,
3008999,,我所掌握的全部石碑都已经提供给您了，请去其他初始传送点获取更多吧！,,,,0,,好的。,,,,咨询服务！,3000201,,,,,,
3009100,3011100,我是搭载了助人型性格芯片的法尔，很高兴能为您提供帮助，您是来了解那些石碑的消息还是想知道一些基础的咨询服务呢？,,,,0,,了解石碑消息！,3009101,2,2001,石碑？,3009201,,,咨询服务！,3000201,,
3009101,,好的，我这里监测到目前有两个处于激发状态的石碑呢，第一个石碑请到达麦浪平原后一直往上走，穿越鬼哭森林、阿克火山后，你到达离火冰岛，它就在岛上。第二个则在位于离火冰岛正西方的一个孤独的小岛上！,,,,0,,有具体坐标吗？,3009102,2,2001,,,,,,,,
3009102,,他们的具体坐标分别是（-560，680）和（-660，780）。去发现属于您的宝藏吧。,,,,0,,好的。,,1,2001,,,,,,,,
3009103,,就是这么厉害呢，变厉害了的话，一定要帮助其他的人也变得和你一样厉害哦。,,,,1,,,,,,,,,,,,,
3009201,,哦，忘记给您介绍了，石碑是这个世界上最伟大的宝藏之一，听说只要真正得到它们的宝藏，就可以在这个世界和你的人生中无往而不胜哦。,,,,0,,这么厉害啊！,3009103,,,,,,,,,,
3010100,,,,,,0,,,,,,,,,,,,,
3011100,3013100,嗯，我帮你搜索一下看啊，目前处于激发状态的两个石碑分别在坐标(-720，840)和(-820，940)处。,,,,0,,具体怎么走呀？,3011101,2,2003,咨询服务！,3000201,,,,,,
3011101,,你从左边出去，往左上方的狼嚎森林走吧。穿过狼嚎森林能够到达冰封半岛，第一个在冰封半岛的最西端，第二个也在冰封半岛上，你朝着第一个石碑的右边一直走应该就能找到。,,,,0,,好的，谢谢你。,,1,2003,,,,,,,,
3012100,,,,,,0,,,,,,,,,,,,,
3013100,3015100,下面激发的石碑比较好找哦，你先传送到麦浪平原，然后往上直走到达阿克火山，第一个石碑就在阿克火山的右上角，第二个石碑你往右走到海边，沿着海边或者穿过海洋都可以到达呢。,,,,0,,我还想要一下坐标！,3013101,2,2005,咨询服务！,3000201,,,,,,
3013101,,坐标分别是(-440，800)和(-540，900)呢。,,,,0,,谢谢！,,1,2005,,,,,,,,
3014100,,,,,,0,,,,,,,,,,,,,
3015100,3017100,嗯，帮助别人难道也会养成习惯吗？好啦，让我继续告诉你石碑的消息吧！接下来这两个石碑在(-600，960)和(-700，1060)。沿着上个石碑继续往右就能找到他们。,,,,0,,好的。,,1,2007,咨询服务！,3000201,,,,,,
3016100,,,,,,0,,,,,,,,,,,,,
3017100,3019100,听说接下来两个石碑讲了些功成身退和爱国治民的道理呢。去看看吗？,,,,0,,它们在哪呢？,3017101,2,2009,咨询服务！,3000201,,,,,,
3017101,,一个坐标在(-320，920)，一个坐标在(-420，1020)。第一个石碑在麦浪平原的双湖沼泽北沼泽的右上方。第二个同样在第一个的正右方。,,,,0,,好的。,,1,2009,,,,,,,,
3018100,,,,,,0,,,,,,,,,,,,,
3019100,3008999,好啦，我感觉已经要帮人帮到底，送佛送到西了，我已经检测到归我管理的最后两个石碑的坐标了。(-480，1080)和(-580，1180)。他们都在上一个石碑的正右方呢。,,,,0,,知道啦。,,1,2010,咨询服务！,3000201,,,,,,
3020100,,,,,,,,,,,,,,,,,,,
3021100,3022100,很高兴见到你呀，我的朋友，我是搭载了完美型芯片的法尔。如果你也想追寻完美的自己的话。请去寻找石碑的指导吧！当然也欢迎你来向我咨询问题！我会很乐意为你解答的。,,,,0,,那么石碑在哪？,3021101,2,2013,石碑？,3020201,,,咨询服务！,3000201,,
3021101,,我这里目前监测到的处于激发态的石碑在河口平原的上方，你可以先传送到那一直往上走，穿过狼嚎森林后，到达海边的一片小雪地，它就在那片区域里，坐标是(-880，1200)。,,,,0,,好的，谢谢你，法尔。,,1,2013,,,,,,,,
3021201,,看来您是还不了解石碑的新朋友呢，它们是这个世界上最伟大的宝藏，只要你弄懂了它们，就能成为真正完美的自己。让你的人生不再迷茫哦。,,,,0,,明白了，谢谢。,,,,,,,,,,,
