NPCid,NPC名字1,"NPC所属地图

2.刷出npc",NPC位置1,NPC场景备注,NPC闲聊对话ID,NPC半身像资源,npcAvatar,NPC类型,大地图是否展示NPC,NPC默认对话
20061,陆拾壹,2,"600,1280",,,,4084012,2,0,大邦者下流，天下之牝，天下之交也。牝常以静胜牡，以静为下。故大邦以下小邦，则取小邦；小邦以下大邦，则取大邦。故或下以取，或下而取。大邦不过欲兼畜人，小邦不过欲入事人。夫两者各得所欲，大者宜为下。
20062,陆拾贰,2,"400,1080",,,,4084012,2,0,道者，万物之奥，善人之宝，不善人之所保。美言可以市尊，美行可以加人。人之不善，何弃之有？故立天子，置三公，虽有拱璧以先驷马，不如坐进此道。古之所以贵此道者何？不曰：求以得，有罪以免邪？故为天下贵。
20063,陆拾叁,2,"860,1660",,,,4084012,2,0,为无为，事无事，味无味。大小多少。报怨以德。图难于其易，为大于其细；天下难事，必作于易；天下大事，必作于细。是以圣人终不为大，故能成其大。夫轻诺必寡信，多易必多难。是以圣人犹难之，故终无难矣。
20064,陆拾肆,2,"340,1140",,,,4084012,2,0,其安易持，其未兆易谋；其脆易泮，其微易散。为之于未有，治之于未乱。合抱之木，生于毫末；九层之台，起于累土；千里之行，始于足下。为者败之，执者失之。是以圣人无为故无败，无执故无失。民之从事，常于几成而败之。慎终如始，则无败事。是以圣人欲不欲，不贵难得之货，学不学，复众人之所过，以辅万物之自然而不敢为。
20065,陆拾伍,2,"190,790",,,,4084012,2,0,古之善为道者，非以明民，将以愚之。民之难治，以其智多。故以智治国，国之贼；不以智治国，国之福。知此两者，亦稽式。常知稽式，是谓玄德。玄德深矣，远矣，与物反矣，然后乃至大顺。
20066,陆拾陆,2,"-300,620",,,,4084012,2,0,江海之所以能为百谷王者，以其善下之，故能为百谷王。是以圣人欲上民，必以言下之；欲先民，必以身后之。是以圣人处上而民不重，处前而民不害。是以天下乐推而不厌。以其不争，故天下莫能与之争。
20067,陆拾柒,2,"220,940",,,,4084012,2,0,"天下皆谓我""道""大，似不肖。夫唯大，故似不肖。若肖，久矣其细也夫！我有三宝，持而保之：一曰慈，二曰俭，三曰不敢为天下先。慈故能勇；俭故能广；不敢为天下先，故能成器长。今舍慈且勇；舍俭且广；舍后且先；死矣！夫慈，以战则胜，以守则固。天将救之，以慈卫之。"
20068,陆拾捌,2,"-270,770",,,,4084012,2,0,善为士者，不武；善战者，不怒；善胜敌者，不与；善用人者，为之下。是谓不争之德，是谓用人之力，是谓配天古之极。
20069,陆拾玖,2,"250,1090",,,,4084012,2,0,"用兵有言：""吾不敢为主，而为客；不敢进寸，而退尺。""是谓行无行；攘无臂；仍无敌；执无兵。祸莫大于轻敌，轻敌几丧吾宝。故抗兵相若，哀者胜矣。"
20070,柒拾,2,"54,1022",,,,4084012,2,0,吾言甚易知，甚易行。天下莫能知，莫能行。言有宗，事有君，夫唯无，是以不我知。知我者希，则我者贵。是以圣人被褐而怀玉。
20071,柒拾壹,2,"-44,988",,,,4084012,2,0,知不知，尚矣；不知知，病也。圣人不病，以其病病。夫唯病病，是以不病。
20072,柒拾贰,2,"-240,920",,,,4084012,2,0,民不畏威，则大威至。无狎其所居，无厌其所生。夫唯不厌，是以不厌。是以圣人自知不自见，自爱不自贵。故去彼取此。
20073,柒拾叁,2,"10,1990",,,,4084012,2,0,勇于敢则杀，勇于不敢则活。此两者，或利或害。天之所恶，孰知其故？是以圣人犹难之。天之道，不争而善胜，不应而善应，不召而自来，繟然而善谋。天网恢恢，疏而不失。
20074,柒拾肆,2,"730,2230",,,,4084012,2,0,民不畏死，奈何以死惧之。若使民常畏死，而为奇者，吾得执而杀之，孰敢？常有司杀者杀。夫代司杀者杀，是谓代大匠斫，希有不伤其手者矣。
20075,柒拾伍,2,"490,1510",,,,4084012,2,0,民之饥，以其上食税之多，是以饥。民之难治，以其上之有为，是以难治。民之轻死，以其上求生之厚，是以轻死。夫唯无以生为者，是贤于贵生。
20076,柒拾陆,2,"-230,1270",,,,4084012,2,0,人之生也柔弱，其死也坚强。草木之生也柔脆，其死也枯槁。故坚强者死之徒，柔弱者生之徒。是以兵强则灭，木强则折。强大处下，柔弱处上。
20077,柒拾柒,2,"370,2110",,,,4084012,2,0,天之道，其犹张弓与？高者抑下，下者举之，有余者损之，不足者补之。天之道，损有余而补不足。人之道，则不然，损不足以奉有余。孰能有余以奉天下，唯有道者。是以圣人为而不恃，功成而不处，其不欲见贤。
20078,柒拾捌,2,"250,1750",,,,4084012,2,0,"天下莫柔弱于水，而攻坚强者莫之能胜，以其无以易之。弱之胜强，柔之胜刚，天下莫不知，莫能行。是以圣人云：""受国之垢，是谓社稷主；受国不祥，是为天下王。""正言若反。"
20079,柒拾玖,2,"130,1390",,,,4084012,2,0,和大怨，必有余怨；报怨以德，安可以为善？是以圣人执左契，而不责于人。有德司契，无德司彻。天道无亲，常与善人。
20080,捌拾,2,"370,1630",,,,4084012,2,0,小国寡民。使有什伯之器而不用；使民重死而不远徙；虽有舟舆，无所乘之；虽有甲兵，无所陈之。使人复结绳而用之。至治之极。甘美食，美其服，安其居，乐其俗，邻国相望，鸡犬之声相闻，民至老死不相往来。
20081,捌拾壹,2,"130,1870",,,,4084012,2,0,信言不美，美言不信。善者不辩，辩者不善。知者不博，博者不知。圣人不积，既以为人己愈有，既以与人己愈多。天之道，利而不害。圣人之道，为而不争。
20082,告示牌,2,,,,,4102001,2,0,沿此路往上走片刻，将会看到一篇椰林沙滩，度假愉快！
20083,告示牌,2,,,,,4102001,2,0,祭祀场所
20084,告示牌,2,,,,,4104001,2,0,天干物燥，小心火烛，欢迎来到熔岩小镇，极少有冒险者愿意来此，因为再往南走真的太热了-_-
20085,独立游戏者心声,2,"887,2555",,,,4070157,2,0,做游戏总是会遇到各种困难，不以物喜，不以己悲，不患得患失，做好自己，不要生活在平静的绝望中，没有什么可以是你生命的全部意义，压力和愤怒是成长的”推动器“，我们坚持的力量，自始至终都应来自于内心，来自那一次次的呐喊--一名独立游戏开发者
20086,独立游戏者心声,2,"880,2567",,,,4070157,2,0,或许有一天，这款游戏也会如逝者一般躺在此，但哪怕有一刻能为玩家们带来乐趣，也是值得的
20087,香蕉岛悬赏,2,,,5000001,,4105004,2,0,
20088,告示牌,2,,,5000002,,4105004,2,0,
20089,告示牌,2,,,5000003,,4105004,2,0,
20090,路牌,2,,,,,4101001,2,0,往东即将到达人面冰原边境，在往东可以进入腹地
20091,告示牌,2,,,5000004,,4105004,2,0,
20092,告示牌,2,,,5000005,,4105004,2,0,
20093,告示牌,2,,,5000006,,4105004,2,0,
20094,告示牌,2,"-147,1940",,,,6001018,2,0,每一个独立空岛资源都不是完全的，你需要去其他空岛进行探索
20095,告示牌,2,"-406,2009",,,,6001019,2,0,领地外的空岛将会有塌陷可能，请注意维护您的路线
20096,初心者,2,"-796,909",,5000007,,7001155,2,0,
20097,初心者,2,"-751,1107",,5000007,,7001155,2,0,
20098,初心者,2,"-631,856",,5000007,,7001155,2,0,
20099,初心者,2,"-447,1076",,5000007,,7001155,2,0,
20112,废墟机器人,2,"-843,1013",,,,7001266,2,,
